variable,variable_val,mean/pct,mean/pct_low,mean/pct_upp,n_unweighted,population,subset_1_val,subset_1_name,level
hh_water_payment,no,0.3872053872053872,0.3551595026460557,0.4192512717647187,345,refugee,,,Household
hh_water_payment,yes,0.6083052749719416,0.5761924322901252,0.6404181176537581,542,refugee,,,Household
,hh_water_payment_amount,43.93173431734317,28.072641131954835,59.7908275027315,542,refugee,,,Household
felt_unsafe_when_accessing_public_water_source,dk,0.0033670033670033673,-4.439488654100249e-4,0.007177955599416759,3,refugee,,,Household
felt_unsafe_when_accessing_public_water_source,no,0.8327721661054995,0.8082216016413737,0.8573227305696254,742,refugee,,,Household
felt_unsafe_when_accessing_public_water_source,yes,0.1638608305274972,0.1395095973547116,0.1882120637002828,146,refugee,,,Household
hh_informed_about_water_services_availability,dwta,0.004489337822671156,9.130768997568303e-5,0.00888736795536663,4,refugee,,,Household
hh_informed_about_water_services_availability,not_informed,0.30751964085297423,0.27716086480785845,0.33787841689809,274,refugee,,,Household
hh_informed_about_water_services_availability,somewhat_informed,0.143658810325477,0.12058423861515466,0.16673338203579935,128,refugee,,,Household
hh_informed_about_water_services_availability,well_informed,0.5443322109988777,0.5115679572254865,0.577096464772269,485,refugee,,,Household
wash_improvement_needed,improvement_in_accessibilty_for_hh,0.46119235095613054,0.4283608054859607,0.49402389642630035,410,refugee,,,Household
wash_improvement_needed,improvement_in_accessibilty_for_idp,0.008998875140607425,0.002779244573723523,0.015218505707491326,8,refugee,,,Household
wash_improvement_needed,improvement_in_affordability_of_water,0.028121484814398204,0.017233223953580817,0.03900974567521559,25,refugee,,,Household
wash_improvement_needed,improvement_in_availability_of_water,0.21147356580427448,0.18457868801502272,0.23836844359352624,188,refugee,,,Household
wash_improvement_needed,improvement_in_functionality_ws,0.2002249718785152,0.173869157324382,0.22658078643264842,178,refugee,,,Household
wash_improvement_needed,improvement_in_quality_of_water,0.08998875140607425,0.07114137535530832,0.10883612745684018,80,refugee,,,Household
wash_improvement_needed2,improvement_in_accessibilty_for_hh,0.18192090395480226,0.1564552824340834,0.2073865254755211,161,refugee,,,Household
wash_improvement_needed2,improvement_in_accessibilty_for_idp,0.01694915254237288,0.008428412516294994,0.025469892568450767,15,refugee,,,Household
wash_improvement_needed2,improvement_in_affordability_of_water,0.06892655367231638,0.05220407763153201,0.08564902971310076,61,refugee,,,Household
wash_improvement_needed2,improvement_in_availability_of_water,0.2192090395480226,0.1918996528105462,0.246518426285499,194,refugee,,,Household
wash_improvement_needed2,improvement_in_functionality_ws,0.303954802259887,0.27359223043870023,0.3343173740810738,269,refugee,,,Household
wash_improvement_needed2,improvement_in_quality_of_water,0.2090395480225989,0.18219803806446624,0.23588105798073153,185,refugee,,,Household
wash_improvement_needed3,improvement_in_accessibilty_for_hh,0.13876146788990826,0.11577174278674268,0.16175119299307383,121,refugee,,,Household
wash_improvement_needed3,improvement_in_accessibilty_for_idp,0.01261467889908257,0.00519271149077398,0.02003664630739116,11,refugee,,,Household
wash_improvement_needed3,improvement_in_affordability_of_water,0.052752293577981654,0.037886432700940054,0.06761815445502325,46,refugee,,,Household
wash_improvement_needed3,improvement_in_availability_of_water,0.22247706422018348,0.1948180411526557,0.2501360872877113,194,refugee,,,Household
wash_improvement_needed3,improvement_in_functionality_ws,0.19839449541284404,0.17187393090645964,0.22491505991922844,173,refugee,,,Household
wash_improvement_needed3,improvement_in_quality_of_water,0.375,0.3428046424861204,0.4071953575138796,327,refugee,,,Household
operating_health_post,dwta,0.01639344262295082,-0.0021380194825468997,0.034924904728448544,3,refugee,,,Household
operating_health_post,no,0.07103825136612021,0.033548812261462876,0.10852769047077755,13,refugee,,,Household
operating_health_post,yes_full_functional,0.5409836065573771,0.46826089791956915,0.613706315195185,99,refugee,,,Household
operating_health_post,yes_partial_functional,0.37158469945355194,0.301064069606915,0.44210532930018887,68,refugee,,,Household
health_post_location,dwta,0.01639344262295082,-0.002138019482546955,0.0349249047284486,3,refugee,,,Household
health_post_location,far_from_the_kebele_outside_woreda,0.00546448087431694,-0.0052939392538882786,0.016222901002522157,1,refugee,,,Household
health_post_location,far_from_the_kebele_within_woreda,0.00546448087431694,-0.00529393925388831,0.01622290100252219,1,refugee,,,Household
health_post_location,outside_the_kebele,0.00546448087431694,-0.005293939253888277,0.016222901002522157,1,refugee,,,Household
health_post_location,within_the_kebele,0.9672131147540983,0.9412249827330632,0.9932012467751334,177,refugee,,,Household
travel_time_to_health_post,1hour_to_half_day,0.04371584699453552,0.013877358213590905,0.07355433577548014,8,refugee,,,Household
travel_time_to_health_post,30_minutes_1hour,0.3005464480874317,0.23363519927004517,0.3674576969048182,55,refugee,,,Household
travel_time_to_health_post,dwta,0.01092896174863388,-0.0042438856959782275,0.026101809193245985,2,refugee,,,Household
travel_time_to_health_post,less_than_30_minutes,0.644808743169399,0.5749677369192671,0.7146497494195309,118,refugee,,,Household
health_post_owner,community,0.28415300546448086,0.2183341803701328,0.3499718305588289,52,refugee,,,Household
health_post_owner,govt,0.7158469945355191,0.650028169441171,0.7816658196298673,131,refugee,,,Household
operating_health_centre,dk,0.014040561622464899,0.004909804824746787,0.02317131842018301,9,refugee,,,Household
operating_health_centre,yes_full_functional,0.2168486739469579,0.18486810099608364,0.24882924689783215,139,refugee,,,Household
operating_health_centre,yes_partial_functional,0.7691107644305772,0.7364082384952109,0.8018132903659436,493,refugee,,,Household
health_centre_location,far_from_the_kebele_in_zonal_town,0.0046801872074883,-6.164222071414526e-4,0.009976796622118051,3,refugee,,,Household
health_centre_location,far_from_the_kebele_within_woreda,0.031201248049921998,0.017708892432669446,0.04469360366717455,20,refugee,,,Household
health_centre_location,outside_the_kebele,0.0124804992199688,0.00386513127684659,0.02109586716309101,8,refugee,,,Household
health_centre_location,within_the_kebele,0.951638065522621,0.9349896561685519,0.9682864748766901,610,refugee,,,Household
travel_time_to_health_centre,1hour_to_half_day,0.08892355694227769,0.06683482256039616,0.11101229132415921,57,refugee,,,Household
travel_time_to_health_centre,30_minutes_1hour,0.2293291731669267,0.19670427811854957,0.2619540682153038,147,refugee,,,Household
travel_time_to_health_centre,dk,0.0015600624024961,-0.0015027258200387634,0.004622850625030963,1,refugee,,,Household
travel_time_to_health_centre,dwta,0.0717628705148206,0.05173363468308048,0.09179210634656071,46,refugee,,,Household
travel_time_to_health_centre,less_than_30_minutes,0.6068642745709829,0.5689587900357371,0.6447697591062287,389,refugee,,,Household
