variable,split,subset_1
nutrition_services_accessed,all,region
nutrition_services_accessed,all,hh_situation
nutrition_services_accessed,all,i.hh_age
nutrition_services_accessed,all,hoh_gender
hh_education_level_attend,all,region
hh_education_level_attend,all,hh_situation
hh_education_level_attend,all,i.hh_age
hh_education_level_attend,all,hoh_gender
education_facility_location,all,region
education_facility_location,all,hh_situation
education_facility_location,all,i.hh_age
education_facility_location,all,hoh_gender
education_facility_owner,all,region
education_facility_owner,all,hh_situation
education_facility_owner,all,i.hh_age
education_facility_owner,all,hoh_gender
education_functionality_status,all,region
education_functionality_status,all,hh_situation
education_functionality_status,all,i.hh_age
education_functionality_status,all,hoh_gender
education_functionality_status_no,all,region
education_functionality_status_no,all,hh_situation
education_functionality_status_no,all,i.hh_age
education_functionality_status_no,all,hoh_gender
school_barriers,all,region
school_barriers,all,hh_situation
school_barriers,all,i.hh_age
school_barriers,all,hoh_gender
not_attending_reasons,all,region
not_attending_reasons,all,hh_situation
not_attending_reasons,all,i.hh_age
not_attending_reasons,all,hoh_gender
dropout_reason,all,region
dropout_reason,all,hh_situation
dropout_reason,all,i.hh_age
dropout_reason,all,hoh_gender
educ_services_improvement,all,region
educ_services_improvement,all,hh_situation
educ_services_improvement,all,i.hh_age
educ_services_improvement,all,hoh_gender
educ_services_improvement2,all,region
educ_services_improvement2,all,hh_situation
educ_services_improvement2,all,i.hh_age
educ_services_improvement2,all,hoh_gender
educ_services_improvement3,all,region
educ_services_improvement3,all,hh_situation
educ_services_improvement3,all,i.hh_age
educ_services_improvement3,all,hoh_gender
information_about_education_availability,all,region
information_about_education_availability,all,hh_situation
information_about_education_availability,all,i.hh_age
information_about_education_availability,all,hoh_gender
received_information_no_accurte2,all,region
received_information_no_accurte2,all,hh_situation
received_information_no_accurte2,all,i.hh_age
received_information_no_accurte2,all,hoh_gender
educ_information_reveived_way,all,region
educ_information_reveived_way,all,hh_situation
educ_information_reveived_way,all,i.hh_age
educ_information_reveived_way,all,hoh_gender
educ_information_reveived_future,all,region
educ_information_reveived_future,all,hh_situation
