uuid,start_date,enumerator_id,region,type,name,current_value,value,issue_id,issue,other_text,checked_by,checked_date,comment,reviewed,adjust_log,so_sm_choices,sheet,index
8c24e703-2941-44c4-9b50-cac1d31e73c9,2024-04-21T00:00:00Z,enum_18,ET05,remove_survey,,,,more_survey_time,715 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
4e58cd83-be25-4efa-a8e9-3dd7a550948f,2024-04-20T00:00:00Z,enum_13,ET05,remove_survey,,,,more_survey_time,1295 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,mobile power become off at middle of the interview and they charged and returned to the interview,,,,,
c89c5396-f1e8-4b87-a6ff-8ef7ce318f7e,2024-04-21T00:00:00Z,enum_13,ET05,remove_survey,,,,more_survey_time,567 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
5d040ebf-4ab2-450e-b522-6b594dce5fa3,2024-04-21T00:00:00Z,enum_13,ET05,remove_survey,,,,more_survey_time,468 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,mobile power become off at middle of the interview and they charged and returned to the interview,,,,,
386c7620-3a85-4d29-8fdd-25c8d67f29ca,2024-04-21T00:00:00Z,enum_13,ET05,remove_survey,,,,more_survey_time,513 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,mobile power become off at middle of the interview and they charged and returned to the interview,,,,,
a9cbb36e-3ad1-4c1b-8d63-dd1f5954e9fb,2024-04-21T00:00:00Z,enum_13,ET05,remove_survey,,,,more_survey_time,425 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,mobile power become off at middle of the interview and they charged and returned to the interview,,,,,
71314501-815f-40a7-bafe-3673f1f54b57,2024-04-21T00:00:00Z,enum_06,ET05,remove_survey,,,,more_survey_time,419 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
456f2553-0e04-4772-90b8-aa55772c671d,2024-04-21T00:00:00Z,enum_06,ET05,remove_survey,,,,more_survey_time,422 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
d88023c1-4def-4947-bc66-09ab7ebab7f0,2024-04-21T00:00:00Z,enum_06,ET05,remove_survey,,,,more_survey_time,383 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
91d2134c-f961-43a3-a053-67bd33b88afc,2024-04-21T00:00:00Z,enum_06,ET05,remove_survey,,,,more_survey_time,373 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
24dad29a-37cc-4b92-afc6-21be3d32e7e6,2024-04-21T00:00:00Z,enum_18,ET05,remove_survey,,,,less_survey_time,-601 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
1088849b-92fc-4eec-8bfc-c72fba150009,2024-04-21T00:00:00Z,enum_12,ET05,remove_survey,,,,more_survey_time,629 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
bba4b024-4ea6-4024-bfa9-52cf43f820fc,2024-04-21T00:00:00Z,enum_08,ET05,change_response,hh_size,10,10,logic_c_outlier,"hh_size :  10 seems to be a  normal distribution outlier , needs confirmation",,TKC,2024-04-22T00:00:00Z,correct,1,,,,
f35dd1b0-644e-4361-bf39-60aa03165561,2024-04-21T00:00:00Z,enum_08,ET05,change_response,hh_size,10,10,logic_c_outlier,"hh_size :  10 seems to be a  normal distribution outlier , needs confirmation",,TKC,2024-04-22T00:00:00Z,correct,1,,,,
041cb631-2f9d-4cf0-8e84-99b2ea9e06ca,2024-04-20T00:00:00Z,enum_19,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,"add new catogory ""surface water"" for items including river, lake, pond",1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
041cb631-2f9d-4cf0-8e84-99b2ea9e06ca,2024-04-20T00:00:00Z,enum_19,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,"add new catogory ""surface water"" for items including river, lake, pond",1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
14cb9d16-d581-4d26-98bf-0e3eb441c318,2024-04-20T00:00:00Z,enum_19,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,"add new catogory ""surface water"" for items including river, lake, pond",1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
14cb9d16-d581-4d26-98bf-0e3eb441c318,2024-04-20T00:00:00Z,enum_19,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,"add new catogory ""surface water"" for items including river, lake, pond",1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
14cb9d16-d581-4d26-98bf-0e3eb441c318,2024-04-20T00:00:00Z,enum_19,ET05,change_response,water_access_challenge,other,ws_physically_damaged,other_checks,,Due to flooding,TKC,2024-04-22T00:00:00Z,,1,,not_allowed_to_access_water : ws_physically_damaged : ws_not_producing_water : water_at_the_source_isnot_clean : ws_under_maintenance : none_hh_access_water : water_not_accessible_due_to_violence : water_not_accessible_due_to_long_waiting_times : water_not_accessible_due_to_long_distance : water_not_accessible_due_to_discrimination_based_on_economic : water_not_accessible_due_to_discrimination_based_on_idp : water_not_accessible_due_to_discrimination_based_on_disability : other : dwta : dk,,
21d76f82-6f5b-413c-8b4a-0e50b8d36630,2024-04-20T00:00:00Z,enum_07,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
21d76f82-6f5b-413c-8b4a-0e50b8d36630,2024-04-20T00:00:00Z,enum_07,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
695a4518-9578-439b-a47a-76651a4886e6,2024-04-20T00:00:00Z,enum_07,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
695a4518-9578-439b-a47a-76651a4886e6,2024-04-20T00:00:00Z,enum_07,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
6ac65205-c8ce-439f-a0e1-ce3619ce15e8,2024-04-20T00:00:00Z,enum_19,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
6ac65205-c8ce-439f-a0e1-ce3619ce15e8,2024-04-20T00:00:00Z,enum_19,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
761f85a5-1189-463d-8df3-dc79f6309606,2024-04-20T00:00:00Z,enum_19,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
