Question,variable,choices/options,Results(mean/percentage),n_unweighted,population,subset_1_name,subset_1_val,select_type,level
Why do they (women) find it more difficult?,women_finds_difficulties_to_collect_water,women_finds_difficulties_to_collect_water/people_restrict_access_to_water,0,0,refugee,i.hh_age,age_18_24,select_multiple,Household
Why do they (women) find it more difficult?,women_finds_difficulties_to_collect_water,women_finds_difficulties_to_collect_water/people_restrict_access_to_water,0,0,refugee,i.hh_age,age_25_39,select_multiple,Household
Why do they (women) find it more difficult?,women_finds_difficulties_to_collect_water,women_finds_difficulties_to_collect_water/people_restrict_access_to_water,0,0,refugee,i.hh_age,age_40_59,select_multiple,Household
Why do they (women) find it more difficult?,women_finds_difficulties_to_collect_water,women_finds_difficulties_to_collect_water/people_restrict_access_to_water,0,0,refugee,i.hh_age,age_60+,select_multiple,Household
Why do they (women) find it more difficult?,women_finds_difficulties_to_collect_water,women_finds_difficulties_to_collect_water/people_restrict_access_to_water,0,0,refugee,i.hh_age,,select_multiple,Household
Why do they (women) find it more difficult?,women_finds_difficulties_to_collect_water,women_finds_difficulties_to_collect_water/other,0,0,refugee,i.hh_age,age_18_24,select_multiple,Household
Why do they (women) find it more difficult?,women_finds_difficulties_to_collect_water,women_finds_difficulties_to_collect_water/other,0,0,refugee,i.hh_age,age_25_39,select_multiple,Household
Why do they (women) find it more difficult?,women_finds_difficulties_to_collect_water,women_finds_difficulties_to_collect_water/other,0,0,refugee,i.hh_age,age_40_59,select_multiple,Household
Why do they (women) find it more difficult?,women_finds_difficulties_to_collect_water,women_finds_difficulties_to_collect_water/other,0,0,refugee,i.hh_age,age_60+,select_multiple,Household
Why do they (women) find it more difficult?,women_finds_difficulties_to_collect_water,women_finds_difficulties_to_collect_water/other,0,0,refugee,i.hh_age,,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_within_kebele,0.68,32,refugee,i.hh_age,age_18_24,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_within_kebele,0.49,146,refugee,i.hh_age,age_25_39,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_within_kebele,0.72,167,refugee,i.hh_age,age_40_59,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_within_kebele,0.84,118,refugee,i.hh_age,age_60+,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_within_kebele,0.73,116,refugee,i.hh_age,,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_kebele,0.21,10,refugee,i.hh_age,age_18_24,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_kebele,0.31,90,refugee,i.hh_age,age_25_39,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_kebele,0.16,37,refugee,i.hh_age,age_40_59,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_kebele,0.12,17,refugee,i.hh_age,age_60+,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_kebele,0.19,31,refugee,i.hh_age,,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_within_woreda,0.09,4,refugee,i.hh_age,age_18_24,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_within_woreda,0.12,34,refugee,i.hh_age,age_25_39,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_within_woreda,0.06,14,refugee,i.hh_age,age_40_59,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_within_woreda,0.03,4,refugee,i.hh_age,age_60+,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_within_woreda,0.02,3,refugee,i.hh_age,,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_woreda,0,0,refugee,i.hh_age,age_18_24,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_woreda,0,0,refugee,i.hh_age,age_25_39,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_woreda,0,1,refugee,i.hh_age,age_40_59,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_woreda,0,0,refugee,i.hh_age,age_60+,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_woreda,0.01,1,refugee,i.hh_age,,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/na_waterpoint_is_always_working,0.04,2,refugee,i.hh_age,age_18_24,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/na_waterpoint_is_always_working,0.09,28,refugee,i.hh_age,age_25_39,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/na_waterpoint_is_always_working,0.07,16,refugee,i.hh_age,age_40_59,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/na_waterpoint_is_always_working,0.03,4,refugee,i.hh_age,age_60+,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/na_waterpoint_is_always_working,0.08,12,refugee,i.hh_age,,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/other,0,0,refugee,i.hh_age,age_18_24,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/other,0,0,refugee,i.hh_age,age_25_39,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/other,0,1,refugee,i.hh_age,age_40_59,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/other,0,0,refugee,i.hh_age,age_60+,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/other,0,0,refugee,i.hh_age,,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dwta,0,0,refugee,i.hh_age,age_18_24,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dwta,0.02,5,refugee,i.hh_age,age_25_39,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dwta,0,1,refugee,i.hh_age,age_40_59,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dwta,0,0,refugee,i.hh_age,age_60+,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dwta,0,0,refugee,i.hh_age,,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dk,0,0,refugee,i.hh_age,age_18_24,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dk,0,0,refugee,i.hh_age,age_25_39,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dk,0,0,refugee,i.hh_age,age_40_59,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dk,0.01,1,refugee,i.hh_age,age_60+,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dk,0,0,refugee,i.hh_age,,select_multiple,Household
In which zone does the interview take place?,zone,ET0506,1,202,refugee,region,Somali,select_one,Household
In which zone does the interview take place?,zone,ET0102,1,676,refugee,region,Tigray,select_one,Household
In which zone does the interview take place?,zone,ET0105,0,2,refugee,region,Tigray,select_one,Household
In which woreda does the interview take place?,woreda,ET050608,1,202,refugee,region,Somali,select_one,Household
In which woreda does the interview take place?,woreda,ET010207,0.07,49,refugee,region,Tigray,select_one,Household
In which woreda does the interview take place?,woreda,ET010209,0.92,627,refugee,region,Tigray,select_one,Household
In which woreda does the interview take place?,woreda,ET010501,0,1,refugee,region,Tigray,select_one,Household
In which woreda does the interview take place?,woreda,ET010504,0,1,refugee,region,Tigray,select_one,Household
Are you the head of the household?,hoh,no,0.09,19,refugee,region,Somali,select_one,Household
Are you the head of the household?,hoh,yes,0.91,183,refugee,region,Somali,select_one,Household
Are you the head of the household?,hoh,no,0.21,142,refugee,region,Tigray,select_one,Household
Are you the head of the household?,hoh,yes,0.79,536,refugee,region,Tigray,select_one,Household
Are you the head of the household?,hoh,yes,1,11,refugee,region,,select_one,Household
What is the age of the respondent?,hh_age,hh_age,35.14,183,refugee,region,Somali,integer,Household
What is the age of the respondent?,hh_age,hh_age,46.63,536,refugee,region,Tigray,integer,Household
What is the age of the respondent?,hh_age,hh_age,33.73,11,refugee,region,,integer,Household
What is the age of the household head?,hoh_no,hoh_no,39.05,19,refugee,region,Somali,integer,Household
What is the age of the household head?,hoh_no,hoh_no,48.06,142,refugee,region,Tigray,integer,Household
What is the gender of the respondent?,hoh_gender,female,0.73,134,refugee,region,Somali,select_one,Household
What is the gender of the respondent?,hoh_gender,male,0.27,49,refugee,region,Somali,select_one,Household
What is the gender of the respondent?,hoh_gender,female,0.48,255,refugee,region,Tigray,select_one,Household
What is the gender of the respondent?,hoh_gender,male,0.52,281,refugee,region,Tigray,select_one,Household
What is the gender of the respondent?,hoh_gender,female,0.73,8,refugee,region,,select_one,Household
What is the gender of the respondent?,hoh_gender,male,0.27,3,refugee,region,,select_one,Household
What is the gender of the household head?,hoh_no_gender,female,0.26,5,refugee,region,Somali,select_one,Household
What is the gender of the household head?,hoh_no_gender,male,0.74,14,refugee,region,Somali,select_one,Household
What is the gender of the household head?,hoh_no_gender,female,0.07,10,refugee,region,Tigray,select_one,Household
What is the gender of the household head?,hoh_no_gender,male,0.93,132,refugee,region,Tigray,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,divorced,0.02,4,refugee,region,Somali,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,married,0.92,169,refugee,region,Somali,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,separated,0.02,3,refugee,region,Somali,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,single,0.02,4,refugee,region,Somali,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,widowed,0.02,3,refugee,region,Somali,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,divorced,0.11,59,refugee,region,Tigray,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,married,0.57,307,refugee,region,Tigray,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,separated,0.06,32,refugee,region,Tigray,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,single,0.1,56,refugee,region,Tigray,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,widowed,0.15,82,refugee,region,Tigray,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,divorced,0.09,1,refugee,region,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,married,0.64,7,refugee,region,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,separated,0.09,1,refugee,region,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,single,0.09,1,refugee,region,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,widowed,0.09,1,refugee,region,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,married,1,19,refugee,region,Somali,select_one,Household
What is the marital status of the household head?,hoh_marital_status,divorced,0.01,1,refugee,region,Tigray,select_one,Household
What is the marital status of the household head?,hoh_marital_status,married,0.97,138,refugee,region,Tigray,select_one,Household
What is the marital status of the household head?,hoh_marital_status,single,0.01,2,refugee,region,Tigray,select_one,Household
What is the marital status of the household head?,hoh_marital_status,widowed,0.01,1,refugee,region,Tigray,select_one,Household
Do you have any formal education?,hh_education,dwta,0.01,1,refugee,region,Somali,select_one,Household
Do you have any formal education?,hh_education,no,0.87,160,refugee,region,Somali,select_one,Household
Do you have any formal education?,hh_education,yes,0.12,22,refugee,region,Somali,select_one,Household
Do you have any formal education?,hh_education,no,0.49,261,refugee,region,Tigray,select_one,Household
Do you have any formal education?,hh_education,yes,0.51,275,refugee,region,Tigray,select_one,Household
Do you have any formal education?,hh_education,no,0.45,5,refugee,region,,select_one,Household
Do you have any formal education?,hh_education,yes,0.55,6,refugee,region,,select_one,Household
What is your occupation?,hh_occupation,farmer,0.42,84,refugee,region,Somali,select_one,Household
What is your occupation?,hh_occupation,govt_worker,0.01,3,refugee,region,Somali,select_one,Household
What is your occupation?,hh_occupation,labourer,0.33,66,refugee,region,Somali,select_one,Household
What is your occupation?,hh_occupation,no_occupation,0.23,46,refugee,region,Somali,select_one,Household
What is your occupation?,hh_occupation,small_shop,0,1,refugee,region,Somali,select_one,Household
What is your occupation?,hh_occupation,trader,0,1,refugee,region,Somali,select_one,Household
What is your occupation?,hh_occupation,farmer,0.55,371,refugee,region,Tigray,select_one,Household
What is your occupation?,hh_occupation,govt_worker,0.02,11,refugee,region,Tigray,select_one,Household
What is your occupation?,hh_occupation,health_worker,0,2,refugee,region,Tigray,select_one,Household
What is your occupation?,hh_occupation,labourer,0.09,64,refugee,region,Tigray,select_one,Household
What is your occupation?,hh_occupation,no_occupation,0.24,165,refugee,region,Tigray,select_one,Household
What is your occupation?,hh_occupation,private_business,0,1,refugee,region,Tigray,select_one,Household
What is your occupation?,hh_occupation,religious_leader,0.01,5,refugee,region,Tigray,select_one,Household
What is your occupation?,hh_occupation,small_shop,0.07,45,refugee,region,Tigray,select_one,Household
What is your occupation?,hh_occupation,teacher,0.01,10,refugee,region,Tigray,select_one,Household
What is your occupation?,hh_occupation,trader,0,2,refugee,region,Tigray,select_one,Household
What is your occupation?,hh_occupation,farmer,0.09,1,refugee,region,,select_one,Household
What is your occupation?,hh_occupation,labourer,0.45,5,refugee,region,,select_one,Household
What is your occupation?,hh_occupation,no_occupation,0.18,2,refugee,region,,select_one,Household
What is your occupation?,hh_occupation,small_shop,0.18,2,refugee,region,,select_one,Household
What is your occupation?,hh_occupation,teacher,0.09,1,refugee,region,,select_one,Household
How many people reside in this household? (including the respondent),hh_size,hh_size,4.49,202,refugee,region,Somali,integer,Household
How many people reside in this household? (including the respondent),hh_size,hh_size,4.19,678,refugee,region,Tigray,integer,Household
How many people reside in this household? (including the respondent),hh_size,hh_size,4.18,11,refugee,region,,integer,Household
What is the displacement status of your household?,hh_situation,hh_host_idp,0,1,refugee,region,Somali,select_one,Household
What is the displacement status of your household?,hh_situation,hh_host_returnee,0,1,refugee,region,Somali,select_one,Household
What is the displacement status of your household?,hh_situation,host,0.99,200,refugee,region,Somali,select_one,Household
What is the displacement status of your household?,hh_situation,hh_host_idp,0,3,refugee,region,Tigray,select_one,Household
What is the displacement status of your household?,hh_situation,host,0.85,574,refugee,region,Tigray,select_one,Household
What is the displacement status of your household?,hh_situation,idp,0.14,95,refugee,region,Tigray,select_one,Household
What is the displacement status of your household?,hh_situation,none,0,1,refugee,region,Tigray,select_one,Household
What is the displacement status of your household?,hh_situation,returnee,0.01,5,refugee,region,Tigray,select_one,Household
What is the displacement status of your household?,hh_situation,host,0.91,10,refugee,region,,select_one,Household
What is the displacement status of your household?,hh_situation,idp,0.09,1,refugee,region,,select_one,Household
What is your region of origin?,hh_region,ET01,1,95,refugee,region,Tigray,select_one,Household
What is your region of origin?,hh_region,ET01,1,1,refugee,region,,select_one,Household
What is your zone of origin?,hh_zone,ET0101,0.05,5,refugee,region,Tigray,select_one,Household
What is your zone of origin?,hh_zone,ET0102,0.09,9,refugee,region,Tigray,select_one,Household
What is your zone of origin?,hh_zone,ET0104,0.01,1,refugee,region,Tigray,select_one,Household
What is your zone of origin?,hh_zone,ET0105,0.84,80,refugee,region,Tigray,select_one,Household
What is your zone of origin?,hh_zone,ET0102,1,1,refugee,region,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010101,0.01,1,refugee,region,Tigray,select_one,Household
What is your woreda of origin?,hh_woreda,ET010102,0.01,1,refugee,region,Tigray,select_one,Household
What is your woreda of origin?,hh_woreda,ET010106,0.01,1,refugee,region,Tigray,select_one,Household
What is your woreda of origin?,hh_woreda,ET010107,0.02,2,refugee,region,Tigray,select_one,Household
What is your woreda of origin?,hh_woreda,ET010209,0.09,9,refugee,region,Tigray,select_one,Household
What is your woreda of origin?,hh_woreda,ET010407,0.01,1,refugee,region,Tigray,select_one,Household
What is your woreda of origin?,hh_woreda,ET010501,0.42,40,refugee,region,Tigray,select_one,Household
What is your woreda of origin?,hh_woreda,ET010504,0.21,20,refugee,region,Tigray,select_one,Household
What is your woreda of origin?,hh_woreda,ET010505,0.08,8,refugee,region,Tigray,select_one,Household
What is your woreda of origin?,hh_woreda,ET010506,0.06,6,refugee,region,Tigray,select_one,Household
What is your woreda of origin?,hh_woreda,ET010507,0.01,1,refugee,region,Tigray,select_one,Household
What is your woreda of origin?,hh_woreda,ET010509,0.05,5,refugee,region,Tigray,select_one,Household
What is your woreda of origin?,hh_woreda,ET010213,1,1,refugee,region,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,dwta,0.5,1,refugee,region,Somali,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,security,0.5,1,refugee,region,Somali,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,economic_opportunities,0.03,3,refugee,region,Tigray,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,presence_of_family,0.86,89,refugee,region,Tigray,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,security,0.11,11,refugee,region,Tigray,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,presence_of_family,1,1,refugee,region,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,no,0.47,45,refugee,region,Tigray,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,unable_to_confirm,0.23,22,refugee,region,Tigray,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,yes,0.29,28,refugee,region,Tigray,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,yes,1,1,refugee,region,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_kebele,0.14,4,refugee,region,Tigray,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_woreda,0.14,4,refugee,region,Tigray,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_zone,0.21,6,refugee,region,Tigray,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,elsewhere_in_country,0.07,2,refugee,region,Tigray,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,place_of_origin,0.43,12,refugee,region,Tigray,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_woreda,1,1,refugee,region,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,cost_of_living,0.04,1,refugee,region,Tigray,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,employement,0.57,16,refugee,region,Tigray,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,household_has_land_there,0.14,4,refugee,region,Tigray,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,lack_of_food_in_current_location,0.11,3,refugee,region,Tigray,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,proximity_to_place_of_origin,0.07,2,refugee,region,Tigray,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,reasons_reason,0.07,2,refugee,region,Tigray,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,education_reason,1,1,refugee,region,,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,no,0.65,122,refugee,region,Somali,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,yes,0.35,66,refugee,region,Somali,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,no,0.58,310,refugee,region,Tigray,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,yes,0.42,225,refugee,region,Tigray,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,no,0.64,7,refugee,region,,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,yes,0.36,4,refugee,region,,select_one,Household
"If yes, how many pregnant/ lactacting women?",pregnant_lac_women_yes,pregnant_lac_women_yes,0.98,66,refugee,region,Somali,integer,Household
"If yes, how many pregnant/ lactacting women?",pregnant_lac_women_yes,pregnant_lac_women_yes,1,225,refugee,region,Tigray,integer,Household
"If yes, how many pregnant/ lactacting women?",pregnant_lac_women_yes,pregnant_lac_women_yes,1,4,refugee,region,,integer,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,cannot_do_at_all,0,1,refugee,region,Somali,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,no_difficulty,0.99,199,refugee,region,Somali,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,some_difficulty,0.01,2,refugee,region,Somali,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,a_lot_of_difficulty,0.08,54,refugee,region,Tigray,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,cannot_do_at_all,0.01,5,refugee,region,Tigray,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,no_difficulty,0.77,525,refugee,region,Tigray,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,some_difficulty,0.14,94,refugee,region,Tigray,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,no_difficulty,0.91,10,refugee,region,,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,some_difficulty,0.09,1,refugee,region,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,a_lot_of_difficulty,0,1,refugee,region,Somali,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,no_difficulty,0.98,197,refugee,region,Somali,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,some_difficulty,0.02,4,refugee,region,Somali,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,a_lot_of_difficulty,0.04,27,refugee,region,Tigray,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,cannot_do_at_all,0.01,5,refugee,region,Tigray,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,no_difficulty,0.86,580,refugee,region,Tigray,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,some_difficulty,0.1,66,refugee,region,Tigray,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,no_difficulty,1,11,refugee,region,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,a_lot_of_difficulty,0.01,2,refugee,region,Somali,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,no_difficulty,0.98,197,refugee,region,Somali,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,some_difficulty,0.01,3,refugee,region,Somali,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,a_lot_of_difficulty,0.09,61,refugee,region,Tigray,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,cannot_do_at_all,0.01,7,refugee,region,Tigray,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,no_difficulty,0.78,529,refugee,region,Tigray,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,some_difficulty,0.12,81,refugee,region,Tigray,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,no_difficulty,1,11,refugee,region,,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,a_lot_of_difficulty,0,1,refugee,region,Somali,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,no_difficulty,1,201,refugee,region,Somali,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,a_lot_of_difficulty,0.02,16,refugee,region,Tigray,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,cannot_do_at_all,0.01,4,refugee,region,Tigray,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,no_difficulty,0.92,622,refugee,region,Tigray,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,some_difficulty,0.05,36,refugee,region,Tigray,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,no_difficulty,1,11,refugee,region,,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,a_lot_of_difficulty,0,1,refugee,region,Somali,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,no_difficulty,0.99,200,refugee,region,Somali,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,some_difficulty,0,1,refugee,region,Somali,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,a_lot_of_difficulty,0.03,19,refugee,region,Tigray,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,cannot_do_at_all,0.01,5,refugee,region,Tigray,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,no_difficulty,0.91,617,refugee,region,Tigray,select_one,Household
